,C#,CNAME,PERIOD,CREDIT,TEACHER
0,EE-29,电力设备设计原理,32,2,王诗航
1,MC-37,创新思维和机器人创客实践,32,2,朱爱斌
2,PY-23,自然科学发展概论,48,3,杨森
3,PY-02,物理学导论,16,1,夏明岗
4,JP-16,日语会话-2,32,2,KUGAWA MICHITAKE
5,EE-86,信号与系统II,60,3.5,张那明
6,MM-10,形势与政策,32,2,李家胜
7,MG-01,公共管理专业导论,16,1,马伟
8,JP-26,基础日语-2,96,6,YAZAKI MASAKAZU
9,MT-21,统计学习(含R软件),32,2,张讲社
10,BS-01,前沿讲座,32,2,孟列素
11,PY-36,信息光学,48,3,刘瑞丰
12,BS-23,免疫学与分子免疫学,50,3,王军阳
13,AT-22,中国书法遗迹考察,32,2,杨晓萍
14,EG-06,交流与表达（少年班）2,32,2,成旻
15,MC-09,工程制图,32,2,王永飞
16,CI-10,急诊医学,32,1.5,石秦东
17,JS-09,设计实践1,16,0.5,雷耀丽
18,AT-36,过程控制与系统专题实验,32,1,刘瑞玲
19,BS-16,综合实验设计,32,1,吕海侠
20,MM-25,伦理学概论,32,2,雒自新
21,MM-66,马克思主义基本原理,48,3,胡晓迪
22,IS-01,MEMS技术及应用,40,2,韩枫
23,EP-06,制冷与低温技术原理,52,3,赵日晶
24,EP-09,压缩机原理与结构,52,3,贾晓晗
25,MT-28,功能材料学,32,2,潘毅
26,JP-11,日语语言学概论,32,2,张伟莉
27,EE-13,电磁场与波,72,4,陈锋
28,MR-02,金工实习Ⅲ-2,64,1,栗茂林
29,EG-03,英语听说实践-2,32,1,KALAYCI HASAN HUSEYIN
30,MC-18,材料力学,56,3.5,宋建伟
31,NC-11,核反应堆热工分析,48,2.5,张大林
32,MG-13,社会福利与优抚,32,2,毛瑛
33,AT-31,多媒体广告设计,64,4,牛琛富茜
34,PY-25,理论力学,48,3,李蓬勃
35,EL-30,电子技术实验-1,16,0.5,张锋
36,MG-25,机器学习-1,32,2,王开东
37,EG-27,美国文学史及选读-2,32,2,杜丽霞
38,EM-31,金融电子商务,40,2,张桂清
39,CS-11,大学计算机 - 算法编程,52,3,刘虎军
40,PY-38,数字图像处理与分析,48,3,张俊武
41,PY-04,大学物理IV,64,4,强蕴蕴
42,BS-02,病理生理学,90,5,刘瑞
43,LW-26,国际法（英）,32,2,单文华
44,MT-07,Characterization techniques in materials science research,32,2,陈凯
45,LT-01,应用写作,32,2,李楚
46,AT-06,工业系统综合自动化基础,32,2,高峰
47,PY-05,原子物理学,48,3,黄永义
48,MT-01,文科高等数学,64,4,贾应智
49,SO-55,口腔医学教育创新,16,1,裴丹丹
50,FR-05,法医物证学,120,5.5,赖江华
51,IF-01,信息论基础The Elements of Information Theory,40,2.5,王慧明
52,CI-01,临床病理学,24,1.5,杨军
53,EE-61,电工电子技术导论,48,3,孙晋茹
54,ER-01,人居环境科学概论,16,1,张硕英
55,BS-37,生理学,40,2,康玉明
56,CE-19,物理化学实验-1,32,1,岳岭
57,ID-22,社会创新设计,40,2,张煜
58,MM-02,中国近现代史纲要,32,2,宋希斌
59,CE-30,现代仪器分析,32,2,胡敏
60,MR-04,金工实习Ⅰ,64,2,栗茂林
61,CN-05,化学工程与工艺实验,32,1,郝妙莉
62,JS-02,创新实践,96,3,李晓光
63,AS-40,航空推进原理,56,3,杨亚晶
64,LW-32,商法学,48,3,楼晓
65,EL-27,模拟电子技术基础,48,3,王振兴
66,MT-26,材料研究方法,32,2,胡磊
67,ID-04,工业设计实践Ⅱ-1,32,1,李萌
68,AT-21,人工智能工具、平台与系统,40,2,张旭翀
69,CE-03,医用有机化学实验,48,1.5,李宝平
