,S#,C#,GRADE
0,02029249,MT-01,86.2
1,05037689,BS-16,73.0
2,08051948,ID-04,73.1
3,07015108,IF-01,69.3
4,05097628,BO-01,71.9
5,04041154,AT-21,61.2
6,04033242,EE-61,66.7
7,09099672,LW-05,
8,07048501,JP-20,60.3
9,04053616,AS-40,54.1
10,06031626,JP-11,70.7
11,05041516,JS-09,92.2
12,04042724,MM-02,78.4
13,08039991,CN-05,67.3
14,09050530,JS-09,76.2
15,04074973,BS-02,78.3
16,01018628,LW-37,
17,01073626,LW-26,93.1
18,05023108,EE-82,55.6
19,04087010,SO-01,84.2
20,04059980,IF-03,73.6
21,01031983,NE-01,75.3
22,07046428,PY-25,66.6
23,08096331,MG-01,81.4
24,04040111,ID-22,72.9
25,09038871,BM-43,86.6
26,06066040,EG-03,86.8
27,07072522,AS-40,75.0
28,02094575,PY-36,60.3
29,04073443,BO-05,73.3
30,07075783,AT-22,67.0
31,01099990,BS-23,68.9
32,04090401,JS-09,53.7
33,05089598,IF-03,68.3
34,08092153,BS-01,78.4
35,02028259,MG-13,62.8
36,07060009,AT-36,61.1
37,01042130,MT-26,73.9
38,03095871,ER-05,62.6
39,09050054,LT-01,70.1
40,03012980,LT-01,72.4
41,02043969,SO-55,50.7
42,03015314,EL-04,77.9
43,07066794,MG-81,
44,03024874,PY-25,76.1
45,06029824,PY-05,100.0
46,02067181,PY-49,73.1
47,09070260,RS-02,69.9
48,08045054,MG-13,79.5
49,08069512,MM-66,65.1
50,07082863,PY-25,68.1
51,02039236,IS-01,81.0
52,01011402,BS-02,65.3
53,05043293,MC-20,76.3
54,05039512,JS-28,80.6
55,04026621,ID-22,72.1
56,02027352,ER-22,96.7
57,04026586,EG-03,92.0
58,07028667,CI-10,
59,06054431,SA-06,55.6
60,03056662,BS-37,87.0
61,07021649,FA-54,60.7
62,06018282,AC-20,63.7
63,07077034,BS-23,75.6
64,09063417,EL-02,66.6
65,03095871,JS-09,81.2
66,08052127,BO-17,78.2
67,04029820,EE-86,75.3
68,04080246,EL-30,74.5
69,08012237,EE-86,64.0
70,09074178,SA-01,
71,09096328,EE-33,70.6
72,01076288,MT-26,
73,05019525,MG-81,67.2
74,05078938,EM-31,93.0
75,08012648,JS-09,64.3
76,03053523,EE-33,62.0
77,09054403,AC-20,76.6
78,01033386,BO-05,77.8
79,04080246,LW-05,95.9
80,08088921,BO-05,
81,03012287,IF-01,66.7
82,09064896,MG-13,70.1
83,09099672,BO-01,60.1
84,04024533,BS-23,62.5
85,02072382,EL-04,76.1
86,08051571,EE-61,64.5
87,02067181,AT-36,68.7
88,06011024,EE-40,69.3
