,KCH,KCM,SKJS,XF,XS
0,ELEC422904,电力设备设计原理,"王诗航,段娜娜",2.0,32.0
1,MACH503701,创新思维和机器人创客实践,朱爱斌,2.0,32.0
2,PHYS282309,自然科学发展概论,"杨森,吕东梅",3.0,48.0
3,PHYS200228,物理学导论,"夏明岗,赵铭姝,赵永涛,冯俊",1.0,16.0
4,JAPN541612,日语会话-2,KUGAWA MICHITAKE,2.0,32.0
5,ELEC328604,信号与系统II,"张那明,沈瑶,王曙鸿",3.5,60.0
6,MLMD191014,形势与政策,李家胜,2.0,32.0
7,MAGT000118,公共管理专业导论,"马伟,胡晗,李燕凌,朱正威,胡芳肖,杜海峰,董新宇,杨潇",1.0,16.0
8,JAPN442612,基础日语-2,"YAZAKI MASAKAZU,王晶",6.0,96.0
9,MATH542107,统计学习(含R软件),张讲社,2.0,32.0
10,BASM900148,前沿讲座,孟列素,2.0,32.0
11,PHYS523609,信息光学,刘瑞丰,3.0,48.0
12,BASM402348,免疫学与分子免疫学,"王军阳,周晓勃,史霖,季延红,马运峰,张保军,孙晨鸣,侯玉柱",3.0,50.0
13,ARTS512210,中国书法遗迹考察,"杨晓萍,尚磊明,李颖",2.0,32.0
14,ENGL200612,交流与表达（少年班）2,成旻,2.0,32.0
15,MACH390901,工程制图,王永飞,2.0,32.0
16,CLIM401048,急诊医学,"石秦东,郭利涛,苗常青,滕琰,刘昱,李昊,许静,梁欢,杜俊凯,黎明,许静",1.5,32.0
17,JZSJ300922,设计实践1,雷耀丽,0.5,16.0
18,AUTO543605,过程控制与系统专题实验,"刘瑞玲,王莹",1.0,32.0
19,BASM401648,综合实验设计,吕海侠,1.0,32.0
20,MLMD502514,伦理学概论,雒自新,2.0,32.0
21,MLMD196614,马克思主义基本原理,胡晓迪,3.0,48.0
22,INSM400132,MEMS技术及应用,韩枫,2.0,40.0
23,ENPO420603,制冷与低温技术原理,"赵日晶,钱苏昕,王磊,李翠,张兴群,刘晔,陈旗",3.0,52.0
24,POLI102414,形策2025春（专题十四：新一轮科技革命的趋势与影响）刘珈彤,刘珈彤,0.0,2.0
25,JZSJ400948,基础科研训练,吕海侠,2.0,0.0
26,ENPO420903,压缩机原理与结构,"贾晓晗,何志龙,薛绒,王雷雷,李丹童",3.0,52.0
27,MATL402802,功能材料学,"潘毅,郭靖",2.0,32.0
28,JAPN441112,日语语言学概论,"张伟莉,任宏昊,曹红荃",2.0,32.0
29,ELEC321304,电磁场与波,"陈锋,王超,沈瑶,高昕悦",4.0,72.0
30,MPRA200252,金工实习Ⅲ-2,"栗茂林,吴毅,崔琦,邵敏,沈瑶,张珂,祁小朋,孙毓忠",1.0,64.0
31,ENGL900312,英语听说实践-2,KALAYCI HASAN HUSEYIN,1.0,32.0
32,MECH311806,材料力学,宋建伟,3.5,56.0
33,ELEC528604,高电压绝缘技术基础,"张冠军,孙安邦,常正实,李文栋,惠思思",2.0,40.0
34,MACH390901,工程制图,赵明,2.0,32.0
